phase,track,target,lookback,asset,split,exclusion_category,count,note
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,test,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,test,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,test,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,train,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,train,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,train,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,validation,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,validation,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,validation,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,all,other_observed_target_unavailable,0,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,all,other_observed_target_unavailable,0,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,all,other_observed_target_unavailable,0,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,all,purge_dates,8,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,all,purge_dates,8,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,all,purge_dates,48,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,all,unassigned_purge_embargo_dates,10,Global date-level split gap across both boundaries.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,all,unassigned_purge_embargo_dates,10,Global date-level split gap across both boundaries.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,all,unassigned_purge_embargo_dates,50,Global date-level split gap across both boundaries.
Phase 2B Layer 1 screening,crypto_hourly,target_direction_4h,168,,all,unobserved_or_calendar_aligned_ohlcv,0,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 1 screening,crypto_hourly,target_log_realized_vol_4h,168,,all,unobserved_or_calendar_aligned_ohlcv,0,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 1 screening,crypto_hourly,target_stress_24h,168,,all,unobserved_or_calendar_aligned_ohlcv,0,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,test,asset_segment_below_lookback,2190,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,test,asset_segment_below_lookback,2190,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,test,asset_segment_below_lookback,3282,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,train,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,train,asset_segment_below_lookback,8274,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,train,asset_segment_below_lookback,8296,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,validation,asset_segment_below_lookback,2023,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,validation,asset_segment_below_lookback,2023,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,validation,asset_segment_below_lookback,3088,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,all,feature_imputation_cases,250394,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,all,feature_imputation_cases,238333,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,all,feature_imputation_cases,238221,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,all,future_target_horizon_tail,400,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,all,future_target_horizon_tail,400,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,all,future_target_horizon_tail,800,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,test,intentional_sampling_cap,35102,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,test,intentional_sampling_cap,34248,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,test,intentional_sampling_cap,33218,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,train,intentional_sampling_cap,158095,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,train,intentional_sampling_cap,145229,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,train,intentional_sampling_cap,144849,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,validation,intentional_sampling_cap,35475,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,validation,intentional_sampling_cap,34614,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,validation,intentional_sampling_cap,33540,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,test,lookback_warmup,4602,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,test,lookback_warmup,4189,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,test,lookback_warmup,4130,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,train,lookback_warmup,4602,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,train,lookback_warmup,4189,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,train,lookback_warmup,4130,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,validation,lookback_warmup,4602,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,validation,lookback_warmup,4189,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,validation,lookback_warmup,4130,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,all,other_observed_target_unavailable,8626,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,all,other_observed_target_unavailable,20687,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,all,other_observed_target_unavailable,20687,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,all,purge_dates,10,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,all,purge_dates,10,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,all,purge_dates,20,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,all,unassigned_purge_embargo_dates,12,Global date-level split gap across both boundaries.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,all,unassigned_purge_embargo_dates,12,Global date-level split gap across both boundaries.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,all,unassigned_purge_embargo_dates,22,Global date-level split gap across both boundaries.
Phase 2B Layer 1 screening,daily,target_direction_5d,60,,all,unobserved_or_calendar_aligned_ohlcv,51986,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 1 screening,daily,target_log_realized_vol_5d,60,,all,unobserved_or_calendar_aligned_ohlcv,51986,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 1 screening,daily,target_stress_10d,60,,all,unobserved_or_calendar_aligned_ohlcv,51986,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,test,asset_segment_below_lookback,15010,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,test,asset_segment_below_lookback,15010,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,test,asset_segment_below_lookback,14990,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,train,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,train,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,train,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,validation,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,validation,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,validation,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,all,feature_imputation_cases,5098,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,all,feature_imputation_cases,5098,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,all,feature_imputation_cases,5098,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,all,future_target_horizon_tail,80,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,all,future_target_horizon_tail,80,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,all,future_target_horizon_tail,480,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,test,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,test,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,test,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,train,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,train,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,train,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,validation,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,validation,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,validation,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,test,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,test,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,test,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,train,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,train,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,train,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,validation,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,validation,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,validation,lookback_warmup,3173,Strict windows do not cross a split boundary; each represented asset loses lookback - 1 endpoints per segment.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,all,other_observed_target_unavailable,0,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,all,other_observed_target_unavailable,0,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,all,other_observed_target_unavailable,0,"Observed rows without a valid target beyond the terminal horizon, typically because the target's required future/past inputs are unavailable."
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,all,purge_dates,8,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,all,purge_dates,8,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,all,purge_dates,48,Configured target-horizon purge before validation and test boundaries.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,all,unassigned_purge_embargo_dates,10,Global date-level split gap across both boundaries.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,all,unassigned_purge_embargo_dates,10,Global date-level split gap across both boundaries.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,all,unassigned_purge_embargo_dates,50,Global date-level split gap across both boundaries.
Phase 2B Layer 2 benchmark,crypto_hourly,target_direction_4h,168,,all,unobserved_or_calendar_aligned_ohlcv,0,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 2 benchmark,crypto_hourly,target_log_realized_vol_4h,168,,all,unobserved_or_calendar_aligned_ohlcv,0,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 2 benchmark,crypto_hourly,target_stress_24h,168,,all,unobserved_or_calendar_aligned_ohlcv,0,Daily calendar alignment retains rows without observed OHLC; crypto has no such rows.
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,test,asset_segment_below_lookback,2190,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,test,asset_segment_below_lookback,2190,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,test,asset_segment_below_lookback,3282,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,train,asset_segment_below_lookback,0,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,train,asset_segment_below_lookback,8274,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,train,asset_segment_below_lookback,8296,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,validation,asset_segment_below_lookback,2023,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,validation,asset_segment_below_lookback,2023,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,validation,asset_segment_below_lookback,3088,Rows belong to assets excluded because at least one required segment is shorter than lookback.
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,all,embargo_dates,2,Configured post-boundary embargo before validation and test segments.
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,all,feature_imputation_cases,250394,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,all,feature_imputation_cases,238333,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,all,feature_imputation_cases,238221,"Audit count only; this is retained, not an exclusion."
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,all,feature_missingness_removed,0,Features are train-only median-imputed; missing feature rows are not dropped.
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,all,future_target_horizon_tail,400,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,all,future_target_horizon_tail,400,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,all,future_target_horizon_tail,800,At most the final target-horizon observed rows per asset cannot have a complete future label.
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,test,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,test,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,test,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,daily,target_direction_5d,60,,train,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,daily,target_log_realized_vol_5d,60,,train,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
Phase 2B Layer 2 benchmark,daily,target_stress_10d,60,,train,intentional_sampling_cap,0,Deterministic per-asset cap; zero for full-eligible stages.
